"Freq [GHz]","dB(St(2,1)) [] - g_pillar_position='27.4um'","dB(St(2,1)) [] - g_pillar_position='28.4um'","dB(St(2,1)) [] - g_pillar_position='42.4um'","dB(St(2,1)) [] - g_pillar_position='57.4um'","dB(St(2,1)) [] - g_pillar_position='72.4um'","dB(St(2,1)) [] - g_pillar_position='87.4um'","dB(St(2,1)) [] - g_pillar_position='102.4um'"
14.5,-0.0843365881785415,-0.0856024530069808,-0.0822652322463062,-0.0822881427186131,-0.0822043627171515,-0.0840258649563421,-0.0845997930163419
14.6,-0.0847919955270799,-0.0860886162134329,-0.0826965387398549,-0.0827176232034424,-0.0826404329205601,-0.0844611501466526,-0.0850463978337978
14.7,-0.0852500254333349,-0.0865770721413486,-0.0831302924153459,-0.083149501920015,-0.0830785847846717,-0.0848989071892372,-0.0854955744494989
14.8,-0.0857106685216605,-0.0870678019394429,-0.0835664834735294,-0.0835837682121264,-0.0835188004334138,-0.0853391246162598,-0.0859473134285111
14.9,-0.0861739150283277,-0.0875607866637789,-0.0840051017002202,-0.0840204110147756,-0.0839610619436929,-0.0857817905250124,-0.0864016049994651
15,-0.086639754797406,-0.0880560072806097,-0.0844461364622176,-0.0844594188513926,-0.0844053513456514,-0.0862268925758107,-0.0868584390541288
15.1,-0.0871081772768465,-0.0885534446692147,-0.0848895767034742,-0.0849007798312646,-0.0848516506229442,-0.0866744179899954,-0.0873178051469507
15.2,-0.0875791715146503,-0.0890530796246879,-0.0853354109413988,-0.08534448164718,-0.0852999417131214,-0.087124353547984,-0.0877796924944333
15.3,-0.088052726155228,-0.0895548928607939,-0.0857836272633673,-0.0857905115732275,-0.0857502065079932,-0.0875766855873904,-0.0882440899744234
15.4,-0.0885288294358668,-0.0900588650127325,-0.086234213323454,-0.086238856462885,-0.0862024268540727,-0.0880314000012822,-0.0887109861252934
15.5,-0.0890074691834082,-0.0905649766399511,-0.0866871563393797,-0.0866895027472792,-0.0866565845531184,-0.0884884822365334,-0.0891803691450689
15.6,-0.089488632811059,-0.0910732082288823,-0.0871424430896681,-0.0871424364337196,-0.0871126613626033,-0.0889479172923077,-0.0896522268903866
15.7,-0.0899723073154249,-0.091583540195709,-0.087600059911061,-0.0875976431044413,-0.0875706389963576,-0.0894096897186717,-0.0901265468754585
15.8,-0.0904585036243515,-0.0920959730969659,-0.0880600152606559,-0.0880551299062631,-0.0880305174026406,-0.0898738062164189,-0.0906033401569838
15.9,-0.0909471832680027,-0.0926104666282665,-0.0885222717319591,-0.0885148592762235,-0.0884922595782961,-0.0903402275098744,-0.0910825694146532
16,-0.0914383319650166,-0.0931270010096111,-0.0889868143105501,-0.0889768155044225,-0.0889558471089461,-0.0908089367823646,-0.0915642211181893
16.1,-0.0919319350073244,-0.0936455564016184,-0.0894536275323459,-0.0894409824536016,-0.0894212615393602,-0.0912799167642667,-0.092048281389696
16.2,-0.0924279772582301,-0.0941661129081546,-0.0899226954823252,-0.089907343559254,-0.0898884843742362,-0.0917531497325419,-0.0925347360022425
16.3,-0.0929264431506445,-0.0946886505789519,-0.0903940017935724,-0.090375881830073,-0.0903574970790679,-0.0922286175104867,-0.0930235703783532
16.4,-0.0934273166856228,-0.0952131494121729,-0.0908675296466195,-0.0908465798486621,-0.0908282810810155,-0.0927063014677241,-0.093514769588474
16.5,-0.0939305814311333,-0.0957395893569991,-0.0913432617690484,-0.0913194197726064,-0.0913008177698119,-0.0931861825204018,-0.0940083183494083
16.6,-0.0944362205210505,-0.096267950316157,-0.0918211804354952,-0.0917943833358546,-0.0917750884987422,-0.0936682411317036,-0.0945042010227173
16.7,-0.0949442166544666,-0.0967982121484096,-0.0923012674679199,-0.0922714518503739,-0.0922510745855965,-0.0941524573125733,-0.0950024016130923
16.8,-0.0954545520952361,-0.0973303546710819,-0.0927835042362272,-0.0927506062082225,-0.0927287573137157,-0.0946388106227529,-0.0955029037667254
16.9,-0.0959672086717984,-0.0978643576624908,-0.093267871659259,-0.0932318268838766,-0.0932081179330347,-0.0951272801720801,-0.0960056907697086
17,-0.0964821677773216,-0.0984002008644067,-0.0937543502060808,-0.0937150939369926,-0.0936891376611699,-0.0956178446221052,-0.0965107455463729
17.1,-0.0969994103701233,-0.0989378639844662,-0.0942429198976969,-0.0942003870154278,-0.0941717976845391,-0.0961104821880371,-0.0970180506577429
17.2,-0.0975189169743844,-0.0994773266985489,-0.0947335603090795,-0.094687685358689,-0.0946560791594834,-0.0966051706409455,-0.0975275882999192
17.3,-0.0980406676811943,-0.100018568653155,-0.0952262505715965,-0.0951769678016991,-0.0951419632134599,-0.0971018873103699,-0.0980393403025973
17.4,-0.0985646421499072,-0.100561569467781,-0.0957209693758201,-0.095668212778957,-0.0956294309462365,-0.097600609087213,-0.098553288127582
17.5,-0.0990908196098246,-0.101106308737183,-0.0962176949747143,-0.0961613983290513,-0.0961184634310948,-0.0981013124269868,-0.0990694128673751
17.6,-0.0996191788621982,-0.101652766033748,-0.0967164051872151,-0.0966565020995321,-0.0966090417160962,-0.0986039733534739,-0.0995876952438909
17.7,-0.100149698282619,-0.102200920909702,-0.097217077402227,-0.0971535013522055,-0.0971011468253403,-0.0991085674626584,-0.100108115607163
17.8,-0.10068235582367,-0.102750752899448,-0.0977196885830012,-0.0976523729687398,-0.0975947597602391,-0.0996150699271082,-0.10063065393428
17.9,-0.101217129018007,-0.103302241521736,-0.0982242152719294,-0.0981530934567182,-0.0980898615008881,-0.100123455500691,-0.101155289828324
18,-0.101753994981763,-0.103855366281924,-0.0987306335957629,-0.0986556389560009,-0.0985864330073095,-0.100633698523696,-0.101682002517507
18.1,-0.10229293041832,-0.104410106674163,-0.0992389192712394,-0.0991599852455392,-0.0990844552208792,-0.101145772928351,-0.102210770854436
18.2,-0.102833921532638,-0.104966449902163,-0.099749056520925,-0.0996661163353906,-0.0995839159898623,-0.101659660960745,-0.102741583179464
18.3,-0.103376943861914,-0.105524375148115,-0.100261019892672,-0.100174006940214,-0.100084795946811,-0.102175335361987,-0.103274417271118
18.4,-0.103921962860247,-0.106083854068189,-0.100774774869767,-0.100683623086552,-0.100587068968932,-0.102692760021048,-0.103809240872396
