"Freq [GHz]","dB(St(1,1)) [] - g='14.5um'","dB(St(1,1)) [] - g='16.5um'","dB(St(1,1)) [] - g='17.5um'","dB(St(1,1)) [] - g='18.5um'","dB(St(1,1)) [] - g='19.5um'","dB(St(1,1)) [] - g='20.5um'","dB(St(1,1)) [] - g='21.5um'","dB(St(1,1)) [] - g='22.5um'","dB(St(1,1)) [] - g='23.5um'","dB(St(1,1)) [] - g='25.5um'"
10.3,-23.3068594975707,-23.6630575066323,-22.1358850127193,-25.0542526133539,-23.5068542219407,-20.3697496884489,-22.9121064848077,-24.6230900410379,-21.545327118733,-23.7491853950534
10.4,-23.2710605319266,-23.6287461354328,-22.0954284995315,-25.0214171018632,-23.4729432796317,-20.3263227414197,-22.8717945921135,-24.5872953285781,-21.5087105050303,-23.7125872179359
10.5,-23.2364462764142,-23.5956366537319,-22.0561016048634,-24.989774936848,-23.4402675640105,-20.284006974613,-22.8326209110023,-24.5526860495975,-21.4733029345201,-23.6771763637298
10.6,-23.2030027676703,-23.5637151475848,-22.017893051315,-24.9593131857373,-23.4088143202968,-20.2427883776204,-22.7945721754212,-24.5192488364469,-21.4390917350483,-23.6429403252948
10.7,-23.1707166132151,-23.5329683965278,-21.980792008629,-24.9300193743075,-23.3785712756336,-20.2026533857184,-22.7576355584659,-24.486970778969,-21.4060646799228,-23.6098669999122
10.8,-23.1395749708671,-23.5033838288854,-21.944788071004,-24.9018814731876,-23.3495266253026,-20.1635888649187,-22.721798656479,-24.4558394109826,-21.3742099736525,-23.5779446747767
10.9,-23.1095765145571,-23.4749606483024,-21.9098817998289,-24.874898994935,-23.3216805511507,-20.125592348044,-22.6870600249825,-24.4258537084331,-21.3435275136911,-23.5471730798352
11,-23.0806982432735,-23.4476760932045,-21.8760528325916,-24.8490494446269,-23.295010413044,-20.088641040801,-22.6533972953877,-24.3969908284465,-21.313994848207,-23.5175299715416
11.1,-23.0529288678557,-23.4215193353178,-21.8432919223191,-24.824322063626,-23.2695057466214,-20.0527230292939,-22.6207992566346,-24.3692395732286,-21.2856014076254,-23.4890047385355
11.2,-23.0262575780512,-23.396480062381,-21.8115901667522,-24.8007064895237,-23.2451565067157,-20.0178267768207,-22.5892550645029,-24.342589140674,-21.2583370030147,-23.4615871097946
11.3,-23.0006740272308,-23.3725484537574,-21.7809389913602,-24.7781927453931,-23.2219530567181,-19.9839411121102,-22.5587542293621,-24.3170291137947,-21.2321918151132,-23.4352671443255
11.4,-22.9761683178984,-23.3497151584614,-21.7513301333851,-24.7567712295014,-23.1998861584717,-19.9510552180849,-22.5292866045318,-24.2925494506429,-21.2071563839024,-23.410035221543
11.5,-22.9527309879337,-23.3279712752556,-21.7227556268812,-24.7364327054606,-23.1789469626701,-19.919158621126,-22.5008423752188,-24.2691404747024,-21.1832215987006,-23.385882032297
11.6,-22.9303529975133,-23.3073083345333,-21.6952077887153,-24.7171682927924,-23.159126999734,-19.8882411808084,-22.4734120480025,-24.2467928657247,-21.1603786887477,-23.3627985705079
11.7,-22.9090257166612,-23.2877182817454,-21.6686792054934,-24.6989694578886,-23.1404181711455,-19.8582930800845,-22.4469864408371,-24.2254976509888,-21.1386192142583,-23.3407761253735
11.8,-22.8887409133873,-23.26919346217,-21.6431627213784,-24.6818280053478,-23.1228127412169,-19.8293048158911,-22.4215566735474,-24.2052461969623,-21.1179350579172,-23.3198062741122
11.9,-22.8694907423736,-23.2517266068565,-21.6186514267639,-24.6657360696688,-23.1063033292757,-19.8012671901576,-22.39711415879,-24.1860302013478,-21.0983184167964,-23.29988087521
12,-22.8512677341736,-23.2353108195995,-21.5951386477677,-24.6506861072869,-23.0908829022473,-19.7741713011947,-22.3736505934576,-24.1678416854924,-21.0797617946736,-23.2809920621398
