"Freq [GHz]","re(Zo(1)) [] - s='18um'","re(Zo(1)) [] - s='19um'","re(Zo(1)) [] - s='20um'","re(Zo(1)) [] - s='22um'","re(Zo(1)) [] - s='23.5um'","re(Zo(1)) [] - s='24.5um'","re(Zo(1)) [] - s='25.5um'","re(Zo(1)) [] - s='26.5um'"
17.3,50.9898474430373,50.1118032405044,49.5805348534221,48.2724970398299,47.4864113865431,46.6858396154823,46.500102971952,45.8626306164549
17.4,50.9874631985305,50.1093766473825,49.5781542401677,48.2702507412748,47.4841333326008,46.6835292665165,46.4979509022473,45.8604782112391
17.5,50.9850873376028,50.1069572745499,49.5757826617848,48.2680130443118,47.4818642418455,46.6812272255222,46.4958069717357,45.8583344785623
17.6,50.9827196778538,50.1045450011776,49.5734199208875,48.2657837693562,47.4796039309175,46.6789333264125,46.4936710573247,45.8561992472023
17.7,50.9803600429221,50.1021397106181,49.5710658264879,48.2635627426605,47.4773522224182,46.6766474086914,46.4915430392673,45.8540723513896
17.8,50.9780082622989,50.0997412902681,49.5687201938001,48.2613497961329,47.4751089447225,46.6743693172748,46.489422801067,45.8519536306392
17.9,50.9756641711475,50.0973496314365,49.5663828440497,48.2591447671605,47.4728739317968,46.6720989023189,46.4873102293863,45.8498429295875
18,50.9733276101286,50.0949646292159,49.5640536042893,48.2569474984396,47.4706470230241,46.6698360190532,46.485205213958,45.8477400978343
18.1,50.9709984252314,50.0925861823593,49.5617323072208,48.2547578378105,47.468428063034,46.6675805276198,46.4831076474998,45.8456449897901
18.2,50.9686764676094,50.090214193161,49.5594187910221,48.2525756380981,47.4662169015386,46.6653322929171,46.4810174256307,45.8435574645283
18.3,50.9663615934221,50.087848567341,49.5571128991801,48.2504007569578,47.4640133931736,46.663091184449,46.4789344467914,45.8414773856417
18.4,50.9640536636811,50.0854892139341,49.5548144803287,48.2482330567255,47.4618173973446,46.6608570761797,46.4768586121658,45.8394046211042
18.5,50.961752544101,50.0831360451816,49.552523388092,48.2460724042739,47.4596287780785,46.6586298463916,46.4747898256066,45.837339043136
