"Freq [GHz]","lost_power_fraction [] - g='14.5um'","lost_power_fraction [] - g='16.5um'","lost_power_fraction [] - g='17.5um'","lost_power_fraction [] - g='18.5um'","lost_power_fraction [] - g='19.5um'","lost_power_fraction [] - g='20.5um'","lost_power_fraction [] - g='21.5um'","lost_power_fraction [] - g='22.5um'","lost_power_fraction [] - g='23.5um'","lost_power_fraction [] - g='25.5um'"
29,0.0894165241669865,0.0810583178471005,0.0800312817644679,0.0777752626052156,0.0752513343387516,0.0743935685220516,0.0724668432488636,0.072045937803573,0.0721378996400088,0.0696127063475484
29.1,0.089617343099394,0.0812424019747088,0.0802029145615307,0.0779369114924756,0.0754166783273531,0.0745763122127706,0.0726403737997727,0.0722114620124867,0.0723038575323157,0.0697793636095329
29.2,0.0898184670180244,0.0814268961470907,0.0803738491265882,0.0780997095380671,0.0755818251806885,0.0747597701367091,0.0728145774836151,0.0723772228718582,0.0724703420317007,0.0699473473899289
29.3,0.0900199003580043,0.0816118004897025,0.0805440649702455,0.0782636411032133,0.0757467754303054,0.0749439486797217,0.0729894781862178,0.0725432277822774,0.0726373766909508,0.0701167044116696
29.4,0.0902216469578033,0.0817971159427503,0.0807135407851111,0.0784286957905089,0.0759115302850076,0.075128854909819,0.0731651000097286,0.0727094842558868,0.0728049846827547,0.0702874811088931
29.5,0.0904237101399336,0.0819828441438818,0.0808822544116988,0.0785948679510124,0.0760760919775889,0.0753144963882852,0.0733414672412512,0.0728759999163881,0.0729731887219317,0.0704597234875515
29.6,0.0906260927717639,0.082168987305469,0.0810501828049274,0.0787621562518895,0.0762404641715126,0.075500881002645,0.0735186043170617,0.0730427824943155,0.0731420110330375,0.0706334769736643
29.7,0.0908287973105899,0.0823555480937851,0.0812173020018348,0.0789305632944701,0.0764046524180352,0.0756880168169397,0.0736965357819577,0.073209839816211,0.0733114734074724,0.0708087862485665
29.8,0.0910318258360961,0.0825425295143404,0.0813835870913547,0.0791000952739472,0.0765686646505097,0.0758759119356131,0.0738752862432272,0.0733771797863166,0.073481597422674,0.0709856950704979
29.9,0.0912351800727771,0.0827299348055283,0.0815490121872457,0.0792707616730395,0.0767325117000383,0.0760645743779898,0.0740548803187389,0.0735448103591761,0.0736524049405037,0.0711642460818113
30,0.0914388614041977,0.0829177673413788,0.0817135504055602,0.079442574982856,0.076896207816121,0.0762540119608456,0.0742353425785901,0.0737127395016565,0.0738239190698609,0.0713444806012542
30.1,0.0916428708806696,0.083106030543362,0.081877173848483,0.0796155504449438,0.0770597711773517,0.0764442321870041,0.074416697479707,0.0738809751429022,0.0739961658777158,0.071526438400684
30.2,0.0918472092215042,0.0832947278006346,0.0820398535968303,0.0797897058090626,0.0772232243808166,0.0766352421381923,0.0745989692927614,0.0740495251111254,0.0741691772692564,0.0717101574656686
30.3,0.0920518768127534,0.0834838623978553,0.0822015597142049,0.0799650611017686,0.0773865949037329,0.0768270483707196,0.074782182020751,0.0742183970565653,0.0743429956225506,0.0718956737395402
30.4,0.0922568737011708,0.0836734374495897,0.0823622612665985,0.0801416384011813,0.0775499155367906,0.0770196568126773,0.0749663593085153,0.074387598360868,0.0745176809087841,0.0720830208504672
30.5,0.0924622028041609,0.0838634602121129,0.082521915883162,0.0803194740752951,0.0777132251120944,0.0772130806203041,0.0751515342462733,0.0745571393956952,0.0746933315975922,0.0722722483497778
30.6,0.0926678602200321,0.084053928955719,0.0826805006145194,0.080498581688425,0.0778765689287132,0.0774073162652711,0.0753377199693005,0.074727023440309,0.0748700702230288,0.0724633662984087
30.7,0.0928738448996214,0.0842448459301606,0.0828379818691413,0.0806789881529407,0.0780399983373151,0.0776023671445944,0.0755249383798679,0.0748972564004594,0.0750480858760966,0.0726563994669699
30.8,0.0930801554004913,0.0844362129960317,0.0829943254186264,0.0808607215014723,0.0782035716397386,0.0777982356073932,0.0757132105488002,0.0750678434629735,0.0752276385196019,0.0728513690322201
30.9,0.0932867898675146,0.0846280315770773,0.0831494966048897,0.0810438106310559,0.0783673545397837,0.0779949228457565,0.0759025565673411,0.0752387889936692,0.0754090584215291,0.073048292216798
31,0.0934937460112681,0.0848203026134179,0.0833034606234773,0.0812282850298435,0.0785314206432942,0.0781924287822298,0.0760929953850319,0.0754100964584983,0.0755927170903244,0.0732471819125039
31.1,0.0937010210842194,0.0850130265149944,0.0834561829052378,0.0814141744827807,0.0786958520203105,0.0783907519534582,0.0762845446327652,0.0755817683807258,0.0757789577492225,0.0734480462878859
31.2,0.0939086118547228,0.0852062031145425,0.0836076296251606,0.0816015087526737,0.0788607398389496,0.0785898893894558,0.0764772204301354,0.0757538063472475,0.0759679933263643,0.0736508883811756
31.3,0.0941165145786649,0.0853998316195136,0.0837577683757179,0.0817903172331919,0.0790261850771453,0.0787898364881078,0.0766710371762839,0.075926211076265,0.0761598133510142,0.0738557056799761
31.4,0.0943247249686713,0.085593910562305,0.0839065690533129,0.0819806285703437,0.0791922993142767,0.0789905868845327,0.0768660073233713,0.0760989825557821,0.0763541593476772,0.0740624896893445
31.5,0.0945332381606961,0.08578843774827,0.0840540050211556,0.0821724702492,0.079359205600712,0.0791921323149549,0.0770621411319969,0.0762721202577726,0.0765505981631374,0.0742712254903138
31.6,0.094742048677805,0.0859834102009383,0.0842000546315944,0.0823658681426677,0.0795270393986738,0.0793944624748435,0.0772594464078381,0.0764456234266508,0.0767486577386391,0.0744818912913185
31.7,0.0949511503909298,0.0861788241039251,0.0843447032167692,0.0825608460194918,0.0796959495829227,0.0795975648710704,0.0774579282189474,0.0766194914333706,0.076947951573586,0.0746944579753166
31.8,0.0951605364762977,0.0863746747390073,0.0844879456911675,0.0827574250088604,0.0798660994840534,0.0798014246679293,0.0776575885932317,0.0767937241790191,0.0771482404387074,0.0749088886458819
31.9,0.095370199369281,0.0865709564197822,0.0846297899559746,0.082955623019503,0.080037667950455,0.0800060245269302,0.0778584261958169,0.0769683225253036,0.0773494298078151,0.0751251381759933
