"Freq [GHz]","lost_power_fraction [] - g_pillar_position='49.5um'","lost_power_fraction [] - g_pillar_position='62um'","lost_power_fraction [] - g_pillar_position='74.5um'","lost_power_fraction [] - g_pillar_position='87um'","lost_power_fraction [] - g_pillar_position='99.5um'","lost_power_fraction [] - g_pillar_position='112um'","lost_power_fraction [] - g_pillar_position='124.5um'","lost_power_fraction [] - g_pillar_position='137um'","lost_power_fraction [] - g_pillar_position='149.5um'","lost_power_fraction [] - g_pillar_position='162um'","lost_power_fraction [] - g_pillar_position='174.5um'","lost_power_fraction [] - g_pillar_position='187um'","lost_power_fraction [] - g_pillar_position='199.5um'"
36.1,0.0848190700695156,0.0835460055378464,0.0845204481156589,0.0825817025061513,0.082522440062276,0.0860778787176213,0.0838803301843011,0.0867676862382817,0.0850379332985791,0.0868947623141381,0.0844468747771611,0.0849729028539446,0.0849073593833932
36.2,0.0849410390259642,0.0836760594221033,0.084655473204254,0.0827084770926367,0.0826490100774605,0.086210820068184,0.083991877838054,0.0869049276376205,0.0851667216627836,0.0870252794599178,0.0845892250468934,0.0851093185747135,0.0850299817484197
36.3,0.0850615296946791,0.0838043929464067,0.0847888469257902,0.0828336876374805,0.0827741394333555,0.0863421266259899,0.0841025550568502,0.0870403879245452,0.0852932531278674,0.0871543914392034,0.0847301863291561,0.0852443482299328,0.0851510132273497
36.4,0.0851805173689443,0.0839309699567574,0.0849205169782036,0.0829573031998402,0.0828977981835109,0.0864717546651557,0.0842123454700945,0.0871740140387214,0.0854174907913628,0.087282040164374,0.0848696545631703,0.085377903474872,0.0852704248490097
36.5,0.0852979795018951,0.0840557571184322,0.0850504337638933,0.0830792953165675,0.0830199587202013,0.0865996645898976,0.0843212327076989,0.0873057561616447,0.0855394052497638,0.0874081689992044,0.085007529070931,0.0855098991225258,0.0853881899771472
36.6,0.0854138956993756,0.0841787239682556,0.0851785505006839,0.0831996379938874,0.0831405957659164,0.0867258207219435,0.0844292004190003,0.0874355678265029,0.0856589745098751,0.0875327229528709,0.0851437130872625,0.0856402535684438,0.0855042843055455
36.7,0.0855282477060261,0.0842998429447771,0.085304823320423,0.0833183076909098,0.0832596863569168,0.0868501911145785,0.0845362322919833,0.0875634060121444,0.0857761838381279,0.0876556488696967,0.0852781142569653,0.0857688891873174,0.0856186858447348
36.8,0.0856410193850775,0.0844190893984122,0.0854292113549038,0.0834352832955686,0.0833772098193507,0.0869727473880056,0.0846423120727769,0.0876892312208819,0.0858910255527009,0.0877768956134958,0.0854106450937691,0.0858957326974653,0.0857313749009377
36.9,0.0857521966922737,0.0845364415837287,0.0855516768090774,0.0835505460934921,0.0834931477385477,0.0870934645814747,0.0847474235854048,0.0878130075399902,0.086003498763957,0.0878964142452574,0.0855412233964643,0.08602071548968,0.0858423340478432
37,0.0858617676444234,0.0846518806358236,0.085672185021423,0.0836640797304714,0.0836074839220918,0.0872123210184278,0.0848515507517904,0.0879347026869743,0.0861136090692394,0.0880141581931739,0.0856697726182846,0.0861437739176388,0.0859515480918119
